ID,Name,Description,ColumnSpec,Semantic_Field,Ontological_Category,Replacement_ID
310,HEAD LOUSE,A parasitic insect which lives among the hairs on the head of a human and feeds on blood.,,Animals,Person/Thing,
311,BODY LOUSE,A parasitic insect that infests the body and clothes of humans and feeds on blood.,,Animals,Person/Thing,
312,TAPIR,Any one the species of large odd-toed ungulates of the family Tapiridae with a long prehensile upper lip.,,Animals,Person/Thing,
313,AGOUTI,A rodent similar in appearance to a guinea pig but having longer legs.,,Animals,Person/Thing,
314,CAPYBARA,"The largest living rodent native to South America, living partly on land and partly in water.",,Animals,Person/Thing,
315,CURASSOW,"A bird, the crested curassow or royal pheasant.",,Animals,Person/Thing,
316,PACA,"A large rodent, with dark brown or black fur, a white or yellowish underbelly and rows of white spots along its sides, native to Central America and South America.",,Animals,Person/Thing,
317,PIRANHA,Any of the carnivorous freshwater fish living in South American rivers and belonging to the subfamily Serrasalminae.,,Animals,Person/Thing,
318,FOOTPRINT,The impression of the foot in a soft substance such as sand or snow.,,The body,Person/Thing,
319,LICK,To stroke with the tongue.,,The body,Action/Process,
320,LAME,"Moving with pain or difficulty on account of injury, defect or temporary obstruction of a function.",,The body,Property,
321,CHEW,To crush with the teeth by repeated closing and opening of the jaws; done to food to soften it and break it down by the action of saliva before it is swallowed.,,Food and drink,Action/Process,
322,FIG,"The fruit of the fig tree, pear-shaped and containing many small seeds.",,Food and drink,Person/Thing,
323,FAT (ORGANIC SUBSTANCE),Esters of three fatty acid chains and the alcohol glycerol which form a semi-solid substance in room temperature and occur in animals and plants.,,The body,Person/Thing,
324,MANIOC FLOUR,Flour made of the cassava plant or root.,,Agriculture and vegetation,Person/Thing,
325,FELT,"A cloth or stuff made of matted fibres of wool, or wool and fur, fulled or wrought into a compact substance by rolling and pressure, with lees or size, without spinning or weaving.",,Clothing and grooming,Person/Thing,
326,CLOAK,"A long outer garment worn over the shoulders covering the back; a cape, often with a hood.",,Clothing and grooming,Person/Thing,
327,PONCHO,"A simple garment, made from a rectangle of cloth, with a slit in the middle for the head.",,Clothing and grooming,Person/Thing,
328,GRASS-SKIRT,"A skirt made from long dried grass, or synthetic material resembling it.",,Clothing and grooming,Person/Thing,
329,STOCKING,"A soft garment worn on the foot and lower leg, usually knit or woven, worn under shoes or other footwear.",,Clothing and grooming,Person/Thing,
330,HEADBAND,"A strip of fabric worn around the head, or a hair-accessory made of a flexible material and curved like a horseshoe, for holding one's hair back.",,Clothing and grooming,Person/Thing,
331,HEADDRESS,A decorative covering or ornament worn on the head.,,Clothing and grooming,Person/Thing,
332,RAG,"A piece of old cloth; a tattered piece of cloth; a shred, a tatter.",,Clothing and grooming,Person/Thing,
333,PLAIT,"A flat fold; a doubling, as of cloth; a pleat.",,Clothing and grooming,Person/Thing,
334,COOKHOUSE,A small house where cooking takes place; a kitchen house.,,The house,Person/Thing,
335,MEETING HOUSE,A building where people meet for a purpose.,,The house,Person/Thing,
336,PADLOCK,A detachable lock that can be used to secure something by means of a sliding or hinged shackle.,,The house,Person/Thing,
337,PITCHFORK,An agricultural tool comprising a fork attached to a long handle used for pitching hay or bales of hay high up onto a haystack.,,Agriculture and vegetation,Person/Thing,
338,RAKE,"A garden tool with a row of pointed teeth fixed to a long handle, used for collecting grass or debris, or for loosening soil.",,Agriculture and vegetation,Person/Thing,
339,DIGGING STICK,A rod shaped implement used by the aboriginal people of Australia to dig yam and as a combat weapon.,,Agriculture and vegetation,Person/Thing,
340,LASSO,"A long rope with a sliding loop on one end, generally used in ranching to catch cattle and horses.",,Agriculture and vegetation,Person/Thing,
341,SICKLE,"An implement, having a semicircular blade and short handle, used for cutting long grass and cereal crops in agriculture.",,Agriculture and vegetation,Person/Thing,
342,HAY,Cut and dried grass for use as animal fodder.,,Agriculture and vegetation,Person/Thing,
343,VINE,A climbing plant which grows up or over things. This also includes types which do not produce grapes.,,Agriculture and vegetation,Person/Thing,
344,TREE TRUNK,The main structural member of a tree.,,Agriculture and vegetation,Person/Thing,
345,SAP,"The juice of plants of any kind, especially the ascending and descending juices or circulating fluid essential to nutrition.",,Agriculture and vegetation,Person/Thing,
346,BANYAN,"A tropical Indian fig tree, Ficus benghalensis, that has many aerial roots.",,Agriculture and vegetation,Person/Thing,
347,SORGHUM,"A cereal, Sorghum vulgare or Sorghum bicolor, the grains of which are used to make flour and as cattle feed.",,Agriculture and vegetation,Person/Thing,
348,FISH POISON,"In Amazonia, a kind of root is apparently used as fish poison.",,Agriculture and vegetation,Person/Thing,
349,ACHIOTE,A derivative of the achiote trees of tropical regions of the Americas used as a red food coloring and as a flavoring.,,Agriculture and vegetation,Person/Thing,
350,MANGROVE,Any of various tropical evergreen trees or shrubs that grow in shallow coastal water; Plants of the Rhizophoraceae family and/or of the genus Rhizophora.,,Agriculture and vegetation,Person/Thing,
351,TARO,"Colocasia esculenta, raised as a food primarily for its corm, which distantly resembles potato.",,Agriculture and vegetation,Person/Thing,
352,UNTIE,"To loosen, as something interlaced or knotted; to disengage the parts of. To unbind, to free from restraint.",,Basic actions and technology,Action/Process,
353,STRIKE,"To intentionally hit with a sharp blow or to impel, usually with a hand or weapon.",,Basic actions and technology,Action/Process,
354,POUND,"To strike hard, usually repeatedly.",,Basic actions and technology,Action/Process,
355,CUT DOWN,To bring down by cutting.,,Basic actions and technology,Action/Process,
356,SHEARS,"A tool consisting of two blades with bevel edges, connected by a pivot, used for cutting cloth, or for removing the fleece from sheep etc.",,Basic actions and technology,Person/Thing,
357,HANG UP,To put up to hang.,,Basic actions and technology,Action/Process,
358,TINPLATE,A thin sheet of steel coated with tin to prevent rusting; used to make cans etc.,,Basic actions and technology,Person/Thing,
359,POTTER,One who makes pots and other ceramic wares.,,Basic actions and technology,Person/Thing,
360,FAN (ACTION),"To blow air on (something) by means of a fan (hand-held, mechanical or electrical) or otherwise.",,Basic actions and technology,Action/Process,
361,PEG,"A cylindrical wooden, metal etc. object used to fasten or as a bearing between objects.",,Basic actions and technology,Person/Thing,
362,STRING,"A long, thin and flexible structure made from threads twisted together.",,Basic actions and technology,Person/Thing,
363,"DWELL (LIVE, RESIDE)",To live; to reside; to remain or continue.,,The house,Action/Process,
364,SMEAR,To spread (a substance) across a surface by rubbing.,,Basic actions and technology,Action/Process,
365,SPLASH,To cause a liquid to spatter about. [WN:365],,Motion,Action/Process,
366,LIMP,"To walk lamely, as if favouring one leg.",,Motion,Action/Process,
367,RIDE,To transport oneself by sitting on and directing an animal.,,Motion,Action/Process,
368,SLEDGE,"A low sled drawn by animals, typically on snow, ice or grass.",,Motion,Person/Thing,16
369,OWE,To be under an obligation to give something back to someone or to perform some action for someone; to have debt.,,Possession,Action/Process,
370,BARTER,To exchange goods without involving money.,,Possession,Action/Process,
371,PICK UP,To lift; to grasp and raise; to collect.,,Spatial relations,Action/Process,
372,POINTED,Ending in an acute point.,,Spatial relations,Property,
373,LONG AGO,"At a time in the past, especially the distant past.",,Time,Other,
374,ONE TIME,An instance or occurrence of an event.,,Time,Other,
375,SNIFF,"To make a short, audible inhalation, through the nose, as if to smell something.",,Sense perception,Action/Process,
376,FRAGRANT,Sweet-smelling; having a pleasant (usually strong) scent or fragrance.,,Sense perception,Property,
377,LOUD,(Of a sound) to have a high volume.,,Sense perception,Property,
378,PINCH,"To squeeze a small amount of a person's skin and flesh, making it hurt.",,Sense perception,Action/Process,
379,BLUNT,"Having a thick edge or point, as an instrument; not sharp.",,Sense perception,Property,
380,WRINKLED,"Uneven, with many furrows and prominent points, often in reference to the skin or hide of animals.",,Sense perception,Property,
381,BLAME,Accusation for something negative or undesirable.,,Emotions and values,Person/Thing,
382,GOVERN,To make and administer the public policy and affairs of; to exercise sovereign authority in.,,Social and political relations,Action/Process,
383,MASTER,Someone who has control over something or someone; the owner of an animal or slave or someone who employs others.,,Social and political relations,Person/Thing,
384,FREEMAN,"A free man, one who is not a serf or slave.",,Social and political relations,Person/Thing,
385,RESPECT (SOMEBODY),"To have respect for someone or something; to have regard for something, to observe a custom, practice, rule or right.",,Emotions and values,Action/Process,
386,BATTLE-AXE,An ancient military weapon.,,Warfare and hunting,Person/Thing,
387,SLING,"An instrument for throwing stones or other missiles, consisting of a short strap with two strings fastened to its ends, or with a string fastened to one end and a light stick to the other.",,Warfare and hunting,Person/Thing,
388,FISHNET,A net used to catch fish.,,Warfare and hunting,Person/Thing,
389,FISH TRAP,"A contraption made of wires, rods, fishing-net or other suitable materials with the purpose of catching fish alive.",,Warfare and hunting,Person/Thing,
390,PUNISHMENT,"The act or process of punishing, imposing and/or applying a sanction; a penalty to punish wrongdoing, especially for crime.",,Law,Person/Thing,
391,BLESS,To make something blessed; to confer blessing upon.,,Religion and belief,Action/Process,
392,MAGIC,"The use of rituals or actions, especially based on supernatural or occult knowledge, to manipulate or obtain information about the natural world, especially when seen as falling outside the realm of religion.",,Religion and belief,Person/Thing,
393,CIRCUMCISION,"The act of excising or amputating the prepuce (the foreskin on penises, the clitoral hood on clitorises)",,Religion and belief,Person/Thing,
394,SHAMAN (FOLK HEALER),A traditional (prescientific) faith healer; a member of certain tribal societies who acts as a religious medium between the concrete and spirit worlds.,,Religion and belief,Person/Thing,
395,PILL,"A small, usually cylindrical object designed for easy swallowing, usually containing some sort of medication.",,Modern world,Person/Thing,
396,TABLET,"A pill; a small, easily swallowed portion of a substance.",,Modern world,Person/Thing,395
397,BIRTH CERTIFICATE,"Official document certifying the details of a person's birth. Name, date, and parents' names are always included; details such as parents' occupation and religion may be included.",,Modern world,Person/Thing,
